input_file,output_file,original_sr,intermediate_sr,bit_depth,final_sr,original_samples,final_samples,processing,processing_date,status
/data/meeami/Umasubhashini/Expresso_dataset/all_distortion_new_batch_350_files/targets/bitcrush/ex01_default_00003.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/EXPRESSO/EXPRESSO_INS/ex01_default_00003.wav,48000,24000,15,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:14:34,success
/data/meeami/Umasubhashini/Expresso_dataset/all_distortion_new_batch_350_files/targets/bitcrush/ex01_default_00004.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/EXPRESSO/EXPRESSO_INS/ex01_default_00004.wav,48000,16000,13,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:14:34,success
/data/meeami/Umasubhashini/Expresso_dataset/all_distortion_new_batch_350_files/targets/bitcrush/ex01_default_00005.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/EXPRESSO/EXPRESSO_INS/ex01_default_00005.wav,48000,8000,10,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:14:34,success
/data/meeami/Umasubhashini/Expresso_dataset/all_distortion_new_batch_350_files/targets/bitcrush/ex01_default_00006.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/EXPRESSO/EXPRESSO_INS/ex01_default_00006.wav,48000,16000,10,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:14:34,success
/data/meeami/Umasubhashini/Expresso_dataset/all_distortion_new_batch_350_files/targets/bitcrush/ex01_default_00007.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/EXPRESSO/EXPRESSO_INS/ex01_default_00007.wav,48000,24000,12,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:14:34,success
/data/meeami/Umasubhashini/Expresso_dataset/all_distortion_new_batch_350_files/targets/bitcrush/ex01_default_00012.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/EXPRESSO/EXPRESSO_INS/ex01_default_00012.wav,48000,32000,15,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:14:34,success
/data/meeami/Umasubhashini/Expresso_dataset/all_distortion_new_batch_350_files/targets/bitcrush/ex01_default_00013.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/EXPRESSO/EXPRESSO_INS/ex01_default_00013.wav,48000,8000,13,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:14:34,success
/data/meeami/Umasubhashini/Expresso_dataset/all_distortion_new_batch_350_files/targets/bitcrush/ex01_default_00015.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/EXPRESSO/EXPRESSO_INS/ex01_default_00015.wav,48000,16000,12,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:14:34,success
/data/meeami/Umasubhashini/Expresso_dataset/all_distortion_new_batch_350_files/targets/bitcrush/ex01_default_00016.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/EXPRESSO/EXPRESSO_INS/ex01_default_00016.wav,48000,8000,15,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:14:34,success
/data/meeami/Umasubhashini/Expresso_dataset/all_distortion_new_batch_350_files/targets/bitcrush/ex01_default_00021.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/EXPRESSO/EXPRESSO_INS/ex01_default_00021.wav,48000,8000,13,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:14:34,success
