codec_combo,file_name,codec1_codec,codec1_aac_bitrate,codec2_codec,codec2_gsm_bitrate,codec2_highpass_filter,codec1_bitrate,codec2_bitrate,codec1_opus_bitrate,codec1_gsm_bitrate,codec1_highpass_filter,codec2_opus_bitrate,codec2_aac_bitrate,codec1_mp3_bitrate,codec2_mp3_bitrate
AAC-GSM,ex01_default_00210.wav,AAC,48k,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,,
MULAW-ALAW,ex01_default_00105.wav,MULAW,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",64k,64k,,,,,,,
AAC-MULAW,ex01_default_emphasis_00087.wav,AAC,56k,MULAW,,,,64k,,,,,,,
OPUS-GSM,ex01_default_00260.wav,OPUS,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,96k,,,,,,
OPUS-GSM,ex01_default_00261.wav,OPUS,,GSM,13k,"{'cutoff_freq': 20, 'order': 2}",,,24k,,,,,,
GSM-ALAW,ex01_default_00227.wav,GSM,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,,
ALAW-GSM,ex01_default_emphasis_00131.wav,ALAW,,GSM,13.2k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,"{'cutoff_freq': 20, 'order': 2}",,,,
AAC-MULAW,ex01_default_emphasis_00118.wav,AAC,56k,MULAW,,,,64k,,,,,,,
ALAW-MULAW,ex01_default_00259.wav,ALAW,,MULAW,,,64k,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
GSM-OPUS,ex01_default_essentials_00030.wav,GSM,,OPUS,,,,,,13.2k,"{'cutoff_freq': 20, 'order': 2}",32k,,,
MULAW-AAC,ex02_default_00002.wav,MULAW,,AAC,,,64k,,,,,,48k,,
AAC-MULAW,ex01_default_00109.wav,AAC,32k,MULAW,,,,64k,,,,,,,
MP3-ALAW,ex01_default_00126.wav,MP3,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,,,,,,24k,
OPUS-ALAW,ex01_default_emphasis_00157.wav,OPUS,,ALAW,,"{'cutoff_freq': 20, 'order': 2}",,64k,5k,,,,,,
MULAW-AAC,ex01_default_00155.wav,MULAW,,AAC,,,64k,,,,,,96k,,
AAC-MULAW,ex01_default_00202.wav,AAC,56k,MULAW,,,,64k,,,,,,,
AAC-MULAW,ex01_default_emphasis_00192.wav,AAC,56k,MULAW,,,,64k,,,,,,,
AAC-MP3,ex01_default_emphasis_00135.wav,AAC,48k,MP3,,,,,,,,,,,32k
MP3-OPUS,ex01_default_emphasis_00106.wav,MP3,,OPUS,,,,,,,,5k,,80k,
