filename,subfolder,processor_order,bitcrush_bit_depth,bitcrush_original_sr,bitcrush_processing_date,Resampling_target_rate,Resampling_processing_time,filters_filter_type,filters_low_cutoff,filters_high_cutoff,filters_order,filters_processing_date,only_codec_codec,only_codec_opus_bitrate,only_codec_mp3_bitrate,only_codec_aac_bitrate,only_codec_gsm_bitrate,only_codec_bitrate,only_codec_highpass_filter,error
ex01_default_00210.wav,only_codec,,,,,,,,,,,,OPUS,64k,,,,,,
ex01_default_emphasis_00087.wav,only_codec,,,,,,,,,,,,MP3,,8k,,,,,
ex01_default_00260.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
ex01_default_00261.wav,only_codec,,,,,,,,,,,,MP3,,24k,,,,,
ex01_default_00227.wav,only_codec,,,,,,,,,,,,OPUS,32k,,,,,,
ex01_default_emphasis_00131.wav,only_codec,,,,,,,,,,,,OPUS,8k,,,,,,
ex01_default_emphasis_00118.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
ex01_default_00259.wav,only_codec,,,,,,,,,,,,GSM,,,,13k,,,
ex01_default_essentials_00030.wav,only_codec,,,,,,,,,,,,MP3,,32k,,,,,
ex02_default_00002.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
ex01_default_emphasis_00157.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
ex01_default_00202.wav,only_codec,,,,,,,,,,,,OPUS,8k,,,,,,
ex01_default_emphasis_00192.wav,only_codec,,,,,,,,,,,,MP3,,40k,,,,,
ex01_default_emphasis_00135.wav,only_codec,,,,,,,,,,,,MP3,,64k,,,,,
ex01_default_emphasis_00106.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
ex01_default_essentials_00026.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
ex01_default_00356.wav,only_codec,,,,,,,,,,,,AAC,,,12k,,,,
ex01_default_00325.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
ex01_default_00247.wav,only_codec,,,,,,,,,,,,AAC,,,32k,,,,
ex01_default_emphasis_00028.wav,only_codec,,,,,,,,,,,,OPUS,16k,,,,,,
ex01_default_emphasis_00198.wav,only_codec,,,,,,,,,,,,AAC,,,64k,,,,
ex01_default_emphasis_00137.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
ex01_default_emphasis_00090.wav,only_codec,,,,,,,,,,,,AAC,,,64k,,,,
ex01_default_00282.wav,only_codec,,,,,,,,,,,,OPUS,64k,,,,,,
ex01_default_emphasis_00030.wav,only_codec,,,,,,,,,,,,MP3,,8k,,,,,
ex01_default_00232.wav,only_codec,,,,,,,,,,,,GSM,,,,13.2k,,,
ex01_default_emphasis_00011.wav,only_codec,,,,,,,,,,,,GSM,,,,13k,,,
ex01_default_00347.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
ex01_default_00326.wav,only_codec,,,,,,,,,,,,AAC,,,32k,,,,
ex01_default_emphasis_00076.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
ex01_default_emphasis_00077.wav,only_codec,,,,,,,,,,,,MP3,,64k,,,,,
ex01_default_emphasis_00119.wav,only_codec,,,,,,,,,,,,OPUS,16k,,,,,,
ex01_default_00196.wav,only_codec,,,,,,,,,,,,MP3,,32k,,,,,
ex01_default_emphasis_00091.wav,only_codec,,,,,,,,,,,,MP3,,64k,,,,,
ex01_default_emphasis_00004.wav,only_codec,,,,,,,,,,,,AAC,,,24k,,,,
ex01_default_00266.wav,only_codec,,,,,,,,,,,,AAC,,,8k,,,,
ex01_default_emphasis_00167.wav,only_codec,,,,,,,,,,,,GSM,,,,13.2k,,,
ex01_default_00174.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
ex01_default_emphasis_00138.wav,only_codec,,,,,,,,,,,,GSM,,,,13k,,,
ex01_default_emphasis_00042.wav,only_codec,,,,,,,,,,,,AAC,,,48k,,,,
ex01_default_00320.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
ex01_default_00222.wav,only_codec,,,,,,,,,,,,OPUS,5k,,,,,,
ex01_default_emphasis_00038.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
ex01_default_emphasis_00110.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
ex01_default_00312.wav,only_codec,,,,,,,,,,,,AAC,,,56k,,,,
ex01_default_emphasis_00021.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
ex01_default_00199.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
