deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
p272_192.wav,3.9486947,3.1878664,3.282344,3.233942,3.8125327,NISQAv2
p323_290.wav,3.6901028,4.087871,4.00576,3.7149506,4.0871067,NISQAv2
p364_126.wav,4.3286905,4.1248612,4.345085,3.5946832,4.2246633,NISQAv2
p326_313.wav,4.2838,4.0751987,4.019171,3.4190724,4.0854173,NISQAv2
p255_319.wav,3.485874,3.4210634,3.586548,3.0300267,3.476855,NISQAv2
p316_293.wav,2.7213817,3.133433,3.4281034,2.5960138,3.4343312,NISQAv2
p284_202.wav,3.9244425,3.7488706,3.7558906,3.522316,3.6714447,NISQAv2
p335_261.wav,3.8419003,3.445173,3.5495827,4.129967,3.8311656,NISQAv2
p333_012.wav,4.608156,4.3732266,4.387827,4.2067523,4.4105725,NISQAv2
p234_135.wav,3.030132,3.2645633,3.238898,3.2660425,3.608445,NISQAv2
p326_307.wav,3.9305618,4.0307555,4.0005503,3.6615112,4.1553226,NISQAv2
p234_171.wav,3.9272132,3.1912181,3.1168168,3.3046184,3.9474597,NISQAv2
p234_260.wav,4.426081,3.7737737,3.7566087,4.361057,4.2088375,NISQAv2
p299_066.wav,3.9154527,4.5246243,4.7658157,4.263162,4.6085825,NISQAv2
p323_084.wav,3.5289395,3.2977533,3.8847768,4.3821254,4.033047,NISQAv2
p295_077.wav,3.812004,3.7402961,3.8607757,3.8316152,4.0067897,NISQAv2
p249_110.wav,4.13051,4.0783954,4.057875,3.8072774,4.26351,NISQAv2
p341_337.wav,4.2640038,3.9686933,4.105524,3.9445403,4.275699,NISQAv2
p255_029.wav,4.340012,4.35119,4.511206,4.1153064,4.389052,NISQAv2
p302_008.wav,3.738345,3.130348,3.6388884,3.26182,4.1290827,NISQAv2
p301_311.wav,2.6513112,3.005049,3.0406744,2.9300547,2.9467394,NISQAv2
p241_327.wav,4.4026957,4.5031013,4.201087,4.19739,4.335925,NISQAv2
p363_159.wav,3.0409148,3.5881367,3.652222,2.8777654,4.0103326,NISQAv2
p302_289.wav,3.5128124,3.5384142,3.7971694,3.0886247,3.4961703,NISQAv2
p305_396.wav,4.2277846,3.8739164,3.5614467,3.531141,4.297804,NISQAv2
p285_135.wav,4.2161293,3.9116876,3.7659566,3.9470003,4.158688,NISQAv2
p275_020.wav,4.895108,4.5052524,4.6866617,4.4970846,4.606011,NISQAv2
p361_001.wav,3.8998604,3.2997458,3.0971692,4.038971,4.2184706,NISQAv2
p249_281.wav,4.3211875,4.16518,4.264602,3.8007534,4.2917585,NISQAv2
p363_219.wav,2.9806738,3.5204175,3.5172625,3.2403238,3.953237,NISQAv2
p312_072.wav,4.0590386,3.3337348,3.5931797,4.2013783,4.2633233,NISQAv2
p326_085.wav,3.957173,3.5353405,3.3891675,3.455629,4.021858,NISQAv2
p299_081.wav,4.5623617,4.6064878,4.4833198,4.1802187,4.449956,NISQAv2
p299_051.wav,3.8046615,3.8652852,3.211026,3.313997,3.460387,NISQAv2
p275_214.wav,3.5098097,2.8355556,3.1639085,3.703898,3.9774292,NISQAv2
p295_035.wav,4.143023,3.7735865,4.034384,3.9251802,3.9495957,NISQAv2
p264_287.wav,4.815116,4.8020663,4.787858,4.4762435,4.5334945,NISQAv2
p241_312.wav,3.7686896,3.8460414,3.4032214,3.996222,3.9074285,NISQAv2
p275_095.wav,2.2253268,3.0801327,2.655649,2.8526933,3.7626903,NISQAv2
p255_322.wav,4.5566144,4.48034,4.765914,4.1886106,4.4832416,NISQAv2
p295_005.wav,3.760896,2.6032453,3.1291506,3.4930093,3.989726,NISQAv2
p241_171.wav,4.454194,4.503808,4.533688,3.9137456,4.3561015,NISQAv2
p323_156.wav,4.312941,4.151311,4.0645223,4.3563304,4.3270383,NISQAv2
p249_013.wav,2.6911967,3.8134649,2.7584138,2.9327552,3.9025228,NISQAv2
p237_301.wav,4.1793385,4.269662,4.163988,4.14755,4.292608,NISQAv2
p272_152.wav,3.5232484,3.3786662,3.9235284,2.9128268,3.3433764,NISQAv2
p255_246.wav,4.6570325,4.4639077,4.6538835,4.412629,4.491901,NISQAv2
p234_334.wav,4.164325,3.4894655,3.5913475,3.4329133,4.106537,NISQAv2
p316_147.wav,3.4986403,4.0792227,3.3172581,3.509998,3.9703126,NISQAv2
p302_306.wav,3.5992248,3.8528702,3.2360973,3.2759855,3.55758,NISQAv2
p305_237.wav,3.6284764,3.625663,3.5830724,3.8831756,3.8874156,NISQAv2
p234_152.wav,3.6944811,3.4598477,3.1993787,3.9981725,3.8226445,NISQAv2
p285_260.wav,3.1128595,3.3598568,2.8351605,3.0039313,3.2465065,NISQAv2
p316_019.wav,3.5482466,2.967883,4.2336197,3.6853306,4.096791,NISQAv2
p326_352.wav,3.484732,3.695988,4.0934997,3.4527936,4.1338363,NISQAv2
p241_328.wav,1.5834047,3.2276132,1.9973602,3.0427754,3.762366,NISQAv2
p323_086.wav,2.6903658,3.7924435,3.1977704,3.1539152,3.4408143,NISQAv2
p251_120.wav,3.667288,3.2897496,3.1600533,3.1688523,3.111144,NISQAv2
p275_106.wav,4.0913906,3.9821913,4.2056146,3.3780043,4.303642,NISQAv2
p326_362.wav,3.8982904,3.9142864,4.1296134,3.0948749,4.1411633,NISQAv2
p299_061.wav,3.8661919,3.3802462,2.998296,3.069352,3.789129,NISQAv2
p333_175.wav,2.1414113,3.427852,2.5418293,3.2012012,3.472244,NISQAv2
p255_119.wav,3.674751,3.8432896,4.127989,3.1863668,4.2857523,NISQAv2
p241_090.wav,4.131267,3.9668767,4.115709,3.6678345,4.090715,NISQAv2
p333_182.wav,4.245949,4.459904,4.077777,4.0968566,4.233353,NISQAv2
p326_105.wav,4.2991037,4.3255615,4.6098166,3.9338048,4.482894,NISQAv2
p335_357.wav,3.373363,3.0992496,3.2106256,3.9483593,3.621918,NISQAv2
p312_358.wav,4.6226654,3.6584773,3.458191,4.424538,4.0743914,NISQAv2
p234_017.wav,4.127762,3.4093761,3.066851,3.2242029,4.1015096,NISQAv2
p335_410.wav,4.776222,4.4466624,4.5808086,4.4889574,4.6168294,NISQAv2
p237_287.wav,4.0835114,4.494242,4.022583,4.416716,4.2287087,NISQAv2
p237_154.wav,4.558677,4.543653,4.645091,4.2071347,4.588777,NISQAv2
p335_350.wav,3.8618538,3.0289865,3.325701,4.0705733,3.9316,NISQAv2
p341_125.wav,4.043529,3.8757372,3.9893658,3.8560896,4.0403986,NISQAv2
p336_236.wav,3.7368643,3.2699258,3.3849082,4.1828637,3.3525069,NISQAv2
p335_165.wav,1.5307244,3.676339,2.8021028,2.905821,3.4150188,NISQAv2
p361_177.wav,3.2518399,2.973887,3.2315447,3.068969,3.8048534,NISQAv2
p335_197.wav,4.1844125,3.6692555,4.1272845,4.12386,4.186829,NISQAv2
p305_038.wav,4.374087,3.8805847,4.2690287,4.334912,4.3331957,NISQAv2
p316_155.wav,3.113087,3.6148307,3.4501598,3.8108647,3.8666356,NISQAv2
p249_267.wav,3.924524,3.4716556,3.9009557,3.4815419,3.6893873,NISQAv2
p316_134.wav,3.3468108,2.7557862,2.5495682,3.1412714,3.3127801,NISQAv2
p249_081.wav,4.0996,3.8324072,4.244592,4.0788827,4.2168894,NISQAv2
p301_122.wav,3.7148542,3.7124386,3.9985018,3.8269124,3.932182,NISQAv2
p363_036.wav,3.7930448,3.6573236,3.7416584,3.5385568,3.8289037,NISQAv2
p299_063.wav,3.3959613,3.7555268,3.7355516,3.7148256,4.002707,NISQAv2
p333_229.wav,4.2544518,4.502768,4.250725,4.1037855,4.2050643,NISQAv2
p302_101.wav,4.3424845,4.096117,4.2647786,3.840679,4.3038864,NISQAv2
p326_014.wav,4.3826904,4.0664067,4.2938724,4.0098233,4.302297,NISQAv2
p284_291.wav,4.1342926,4.350784,3.9387262,4.074339,4.0777154,NISQAv2
p241_297.wav,4.4910874,4.3295703,4.442957,4.231753,4.437408,NISQAv2
p299_128.wav,4.7572756,4.8566084,4.5835247,4.4322762,4.40805,NISQAv2
p284_032.wav,4.4031305,4.3825297,4.171891,4.267115,4.2669587,NISQAv2
p264_171.wav,4.5345783,4.208216,4.3121595,3.8172736,4.1882977,NISQAv2
p295_017.wav,3.6158974,3.5245805,3.135877,3.100302,3.5766366,NISQAv2
p364_150.wav,4.394928,3.8631196,4.142727,3.958321,4.314841,NISQAv2
p285_122.wav,2.6531718,2.7988994,3.4711912,3.3173115,3.6263044,NISQAv2
p323_366.wav,4.1496315,4.0605383,4.119796,4.4098887,4.155468,NISQAv2
p264_279.wav,4.584032,4.1943436,4.497163,3.99751,4.350821,NISQAv2
p333_176.wav,4.665215,4.5707345,4.579466,4.2890244,4.470508,NISQAv2
p335_224.wav,1.5346128,3.7461057,1.9423473,2.863342,3.534012,NISQAv2
p299_270.wav,4.3486996,4.365215,3.999217,4.2248693,4.3072658,NISQAv2
p305_130.wav,4.0388947,3.369621,3.5646505,3.8483884,4.1109242,NISQAv2
p234_022.wav,4.3649535,3.9657497,4.2818837,4.024032,4.370155,NISQAv2
p255_066.wav,4.845415,4.6504006,4.7791395,4.556429,4.596369,NISQAv2
p237_350.wav,3.034225,3.6253324,3.5111473,2.8739097,3.9275405,NISQAv2
p323_269.wav,4.654809,4.4735866,4.640779,4.4414067,4.4685783,NISQAv2
p302_291.wav,4.360589,3.9763925,3.9933312,4.1729884,4.293651,NISQAv2
p347_229.wav,3.1447892,2.990934,2.379911,3.3821929,3.0373564,NISQAv2
p275_336.wav,2.3395076,3.8679698,2.356981,2.6624935,3.5881937,NISQAv2
p234_118.wav,3.728862,3.7382674,3.0886953,3.4956706,4.0470467,NISQAv2
p335_215.wav,4.104458,3.1521018,3.468999,4.0723863,4.053199,NISQAv2
p241_144.wav,4.289584,4.188869,4.1407375,4.1146326,4.3044953,NISQAv2
p251_218.wav,1.7228487,3.3532326,2.2047281,2.9454422,3.1644034,NISQAv2
p264_011.wav,4.7129273,4.579313,4.783614,4.5109544,4.708143,NISQAv2
p312_115.wav,2.4515274,3.5808806,2.917064,3.2550442,3.8266876,NISQAv2
p249_320.wav,3.9238546,3.853266,4.2737017,3.9039695,4.2165923,NISQAv2
p285_118.wav,4.1941586,4.568417,4.070885,4.1841574,4.1091104,NISQAv2
p364_233.wav,3.856461,3.1068933,3.2390685,3.399597,3.841757,NISQAv2
p347_295.wav,3.3881166,3.109061,2.504145,2.8927333,3.0523539,NISQAv2
p335_399.wav,2.6630332,3.5144384,3.1743107,2.814576,3.5582964,NISQAv2
p316_170.wav,3.539838,2.7364767,3.173588,2.895144,3.6419308,NISQAv2
p234_050.wav,2.4788666,2.8071363,3.8557127,3.2036839,3.8162677,NISQAv2
p249_339.wav,4.496442,4.02286,4.5079193,4.2824616,4.4455953,NISQAv2
p363_084.wav,4.725856,4.6136947,4.446076,4.5806146,4.5935454,NISQAv2
p333_190.wav,4.727722,4.5143886,4.370529,4.2659707,4.307849,NISQAv2
p241_196.wav,3.8988066,3.8836062,3.9423165,3.7322972,4.1586585,NISQAv2
p341_293.wav,2.8718731,4.396665,3.555195,2.9267352,3.650817,NISQAv2
p341_384.wav,3.7165303,3.9007788,2.8186262,3.1878455,3.1922977,NISQAv2
p237_137.wav,3.222483,2.876123,2.5195832,3.1749094,3.1215537,NISQAv2
p333_253.wav,3.5557175,3.3509495,2.5363991,3.473841,3.8045845,NISQAv2
p249_114.wav,4.447427,4.2231636,4.314847,4.0010586,4.259438,NISQAv2
p361_225.wav,4.0961776,3.4563596,3.0661957,3.1481407,3.6932116,NISQAv2
p363_123.wav,4.499858,4.2798266,4.4180894,4.287476,4.4667907,NISQAv2
p341_352.wav,4.0225916,3.6400597,3.536209,4.049943,4.090553,NISQAv2
p302_127.wav,4.13629,3.8172405,4.0095625,3.8525953,4.200724,NISQAv2
p323_263.wav,3.3683758,4.3180504,3.28671,3.4145143,3.8126326,NISQAv2
p284_069.wav,4.6989655,4.4482026,4.5538406,4.4625745,4.568159,NISQAv2
p316_177.wav,3.7323966,3.0442052,3.1302998,3.223831,3.8432138,NISQAv2
p364_245.wav,4.6359982,4.431144,4.5974984,4.46787,4.565609,NISQAv2
p251_248.wav,4.9211617,4.6303935,4.815346,4.540565,4.646078,NISQAv2
p363_019.wav,3.847793,3.5669072,4.1519217,3.3811548,4.130834,NISQAv2
p347_087.wav,1.8529385,3.5772097,2.2479126,3.2032652,3.385411,NISQAv2
p284_157.wav,1.5918654,3.4791143,2.9478846,2.9996378,3.478767,NISQAv2
p341_390.wav,4.067469,3.947165,3.380698,3.5410607,3.9325438,NISQAv2
p333_102.wav,4.7221127,4.3829007,4.5033026,4.238267,4.3990893,NISQAv2
p272_018.wav,2.554306,3.9949641,3.1348429,3.1058137,3.7139437,NISQAv2
p333_316.wav,4.71205,4.525425,4.6831226,4.311358,4.6023097,NISQAv2
p237_195.wav,4.395466,4.475316,4.267927,4.0832953,4.4611707,NISQAv2
p284_367.wav,4.3613014,4.3029475,4.309139,4.115863,4.267234,NISQAv2
p237_131.wav,4.678015,4.5519013,4.614064,4.312342,4.568441,NISQAv2
p249_231.wav,3.2854593,4.2449765,3.6568499,3.507211,3.4382384,NISQAv2
p272_014.wav,3.9613855,3.4802759,3.850566,3.3833344,4.020386,NISQAv2
p249_303.wav,2.7153049,3.7387836,3.3477333,2.9213068,3.7798126,NISQAv2
p363_140.wav,4.0219374,3.4563956,2.9539318,3.0643406,3.4726155,NISQAv2
p301_207.wav,4.5861387,3.629224,4.01145,4.1616035,4.233506,NISQAv2
p326_247.wav,3.7687824,3.4612615,3.9445066,3.7100165,3.8469384,NISQAv2
p255_107.wav,4.47148,4.2230163,4.388194,4.1303535,4.3958225,NISQAv2
p301_077.wav,3.9462154,4.05098,3.5991266,3.6523936,3.798128,NISQAv2
p237_008.wav,3.9808981,3.9375253,4.2228317,3.5281787,4.284677,NISQAv2
p341_024.wav,4.261262,3.7844257,4.1754208,3.8065994,4.310771,NISQAv2
p301_254.wav,3.6628916,3.072762,2.8401966,3.2593958,3.2513063,NISQAv2
p284_234.wav,3.65792,3.7583005,3.7536647,3.315756,3.568272,NISQAv2
p335_069.wav,3.2385328,3.5035956,2.7329786,3.3622382,3.0703645,NISQAv2
p302_085.wav,4.0446014,3.5976503,3.5783336,3.4030662,3.7989213,NISQAv2
p264_196.wav,3.7320383,3.7475424,3.3319132,3.9154663,3.8923576,NISQAv2
p295_007.wav,3.79542,3.7742069,3.0084565,3.3834832,3.3280923,NISQAv2
p255_195.wav,4.0333056,3.5100858,3.7247493,3.3745482,4.147346,NISQAv2
p264_178.wav,2.5766103,3.5988653,3.2560904,3.4312923,4.1718936,NISQAv2
p251_258.wav,4.100936,3.9477625,4.0851803,3.784387,3.747657,NISQAv2
p323_019.wav,3.4227068,3.6728475,3.8191488,3.6403766,3.7390354,NISQAv2
p335_375.wav,3.871102,2.8296168,4.347533,3.9325435,3.7993982,NISQAv2
p336_007.wav,3.9414659,3.407622,2.9855943,3.434332,3.8126037,NISQAv2
p341_266.wav,4.0529695,3.599686,3.9939516,3.9411783,4.0202007,NISQAv2
p341_006.wav,3.0519571,3.2817967,2.8053699,3.484737,3.9940546,NISQAv2
p363_103.wav,4.180792,4.1566296,4.3320894,4.066033,4.2296658,NISQAv2
p264_104.wav,4.707112,4.6041756,4.7880416,4.5371385,4.618833,NISQAv2
p361_229.wav,3.5465453,4.0185833,3.7345877,3.8756323,3.8513083,NISQAv2
p295_199.wav,4.427289,3.6764224,3.6177497,4.1435585,4.1529045,NISQAv2
p364_035.wav,2.927748,3.434128,3.1645877,2.9912655,3.655092,NISQAv2
p249_241.wav,4.459875,3.7698295,3.880726,4.3506036,4.336328,NISQAv2
p251_296.wav,3.9914124,4.064573,4.4732056,3.541965,4.3226624,NISQAv2
p323_264.wav,4.1668835,3.7309592,3.3832161,4.123973,4.0476007,NISQAv2
p299_253.wav,3.2785375,3.3859465,3.1236682,2.7349622,3.5494857,NISQAv2
p237_177.wav,3.502601,3.4591434,2.7143145,3.2373474,3.5188172,NISQAv2
p237_263.wav,2.742534,3.0564225,2.610131,2.9126766,3.0782635,NISQAv2
p361_246.wav,4.409835,4.3642135,4.2681513,4.086429,4.3569446,NISQAv2
p335_395.wav,4.508355,4.136316,4.4381266,4.414979,4.4657164,NISQAv2
p285_187.wav,3.6063118,2.9151762,2.5690138,3.2348945,3.9113762,NISQAv2
p275_405.wav,3.395027,3.3975663,3.5075529,3.165672,3.4552138,NISQAv2
p323_023.wav,4.094715,3.9316142,4.1894627,4.1780763,4.224301,NISQAv2
p301_391.wav,1.448482,3.2565446,2.199168,2.4225466,3.2624211,NISQAv2
p275_294.wav,4.4056616,4.374085,4.3252764,4.1693835,4.327885,NISQAv2
p285_114.wav,4.588392,4.3197513,4.223486,4.4680133,4.4147425,NISQAv2
p323_191.wav,3.0156105,3.8266537,4.1222963,3.8246965,4.0709333,NISQAv2
p255_268.wav,3.907512,3.779386,3.8138807,3.199519,3.8833883,NISQAv2
p361_092.wav,4.1150694,4.253693,4.3540792,4.192734,4.414139,NISQAv2
p335_157.wav,3.631636,3.2977815,3.1384902,3.7863448,3.6742008,NISQAv2
p237_021.wav,4.5202794,4.2894335,4.533268,4.2159104,4.4708934,NISQAv2
p361_150.wav,3.8687675,4.228464,3.8749835,4.030989,4.123194,NISQAv2
p272_120.wav,4.3955994,3.558588,3.5700908,3.2562327,4.113709,NISQAv2
p255_106.wav,1.5086275,3.132173,1.6598244,2.9603682,3.4586196,NISQAv2
p316_352.wav,3.3733227,3.1570613,3.105676,3.0643847,3.8935366,NISQAv2
p341_044.wav,2.8927982,2.9462454,3.36882,3.0638318,3.0883791,NISQAv2
p264_421.wav,3.841388,3.455506,2.9815383,3.4992845,3.962648,NISQAv2
