deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
p272_192.wav,4.2910256,3.5907838,3.7762718,3.51451,4.171863,NISQAv2
p323_290.wav,4.7021084,4.646068,4.852705,4.613283,4.5935016,NISQAv2
p364_126.wav,4.34482,3.8074508,3.6100438,3.5300515,3.881087,NISQAv2
p326_313.wav,4.35382,4.2319703,4.2471213,3.9564312,4.2062254,NISQAv2
p255_319.wav,4.511453,4.414763,4.494551,4.240084,4.390884,NISQAv2
p316_293.wav,4.100669,3.906171,4.2365713,3.7923105,4.04993,NISQAv2
p284_202.wav,4.6327367,4.583608,4.5669436,4.449143,4.463086,NISQAv2
p335_261.wav,4.19586,3.9234421,4.1520987,4.353065,4.2620263,NISQAv2
p333_012.wav,4.9262753,4.6254935,4.8121805,4.5516696,4.6582713,NISQAv2
p234_135.wav,4.1996,4.478911,4.163055,4.023402,4.1472416,NISQAv2
p326_307.wav,4.655221,4.5412755,4.582636,4.46987,4.5993557,NISQAv2
p234_171.wav,4.400829,3.6545513,3.6266243,4.262502,4.310819,NISQAv2
p234_260.wav,4.7541847,4.569611,4.6837406,4.54384,4.573477,NISQAv2
p299_066.wav,4.3671937,4.1423297,3.8345816,4.4229474,4.392484,NISQAv2
p323_084.wav,3.7905715,3.2586553,3.6942623,4.153609,3.9944022,NISQAv2
p295_077.wav,4.3274174,4.386911,4.2814317,4.3203654,4.403299,NISQAv2
p249_110.wav,4.787897,4.576663,4.7037215,4.4218183,4.5839067,NISQAv2
p341_337.wav,5.004176,4.6758027,4.9166226,4.652116,4.7175646,NISQAv2
p255_029.wav,4.693849,4.4812465,4.556552,4.3133016,4.487729,NISQAv2
p302_008.wav,4.605489,4.375067,4.571099,4.252809,4.532442,NISQAv2
p301_311.wav,4.5010376,3.9514394,3.70936,4.201967,4.314193,NISQAv2
p241_327.wav,4.9360037,4.518294,4.7618713,4.658276,4.7328353,NISQAv2
p363_159.wav,4.1315804,4.269502,4.0462193,4.396984,4.3805866,NISQAv2
p302_289.wav,4.700775,4.5135617,4.557525,4.5117326,4.5650353,NISQAv2
p305_396.wav,4.322775,3.9023504,4.331361,3.3762562,4.22134,NISQAv2
p285_135.wav,4.761365,4.556087,4.6001406,4.414323,4.55355,NISQAv2
p275_020.wav,4.8596697,4.5424137,4.7559085,4.445399,4.5729585,NISQAv2
p361_001.wav,4.5547347,4.3470106,4.3962646,4.449024,4.538857,NISQAv2
p249_281.wav,4.851592,4.5228496,4.772437,4.47459,4.6721883,NISQAv2
p363_219.wav,4.691716,4.611273,4.5591965,4.492783,4.5824924,NISQAv2
p312_072.wav,3.618612,2.990882,3.3748345,3.7560675,3.8991299,NISQAv2
p326_085.wav,4.2060266,3.9007666,3.9832563,3.4129775,4.2902093,NISQAv2
p299_081.wav,4.882347,4.707262,4.7800827,4.488136,4.691098,NISQAv2
p299_051.wav,4.5719185,4.4818254,4.5264716,4.35745,4.271584,NISQAv2
p275_214.wav,4.193465,4.097129,3.864393,4.2838717,4.3164873,NISQAv2
p295_035.wav,4.3059926,4.0093365,4.0495,4.124595,3.9827783,NISQAv2
p264_287.wav,4.915928,4.78867,4.840094,4.5394163,4.6275496,NISQAv2
p241_312.wav,3.8573089,4.3452983,3.9387202,4.1345057,4.1209188,NISQAv2
p275_095.wav,4.4063807,4.5073376,4.232779,4.152925,4.3055606,NISQAv2
p255_322.wav,4.743004,4.647282,4.801158,4.5165896,4.6517634,NISQAv2
p295_005.wav,4.020707,3.374402,3.5816393,3.5533307,4.174229,NISQAv2
p241_171.wav,4.7861075,4.550026,4.65652,4.3812957,4.538111,NISQAv2
p323_156.wav,4.63318,4.6473017,4.733452,4.567496,4.589076,NISQAv2
p249_013.wav,4.5828743,4.336345,4.56621,4.27395,4.4321437,NISQAv2
p237_301.wav,4.141513,4.2883344,4.0527244,4.119184,4.212065,NISQAv2
p272_152.wav,4.3735547,3.9398894,3.5710905,3.4760535,4.1502614,NISQAv2
p255_246.wav,4.3282514,4.3071847,4.012241,4.21327,4.4215407,NISQAv2
p234_334.wav,4.5657763,4.445454,4.602133,4.388352,4.4216666,NISQAv2
p316_147.wav,4.097093,4.2083087,4.1230817,4.074023,4.1662307,NISQAv2
p302_306.wav,4.4022703,4.284013,4.124527,4.233856,4.31578,NISQAv2
p305_237.wav,3.7884324,4.2650113,4.189063,4.0409794,4.1785073,NISQAv2
p234_152.wav,4.1505938,4.120233,3.871827,4.1518145,4.1886263,NISQAv2
p285_260.wav,4.58799,4.040245,4.0072026,3.991346,4.2633843,NISQAv2
p316_019.wav,4.4465837,4.2302213,4.605856,4.28666,4.510249,NISQAv2
p326_352.wav,4.307406,3.9683616,4.152307,4.291569,4.3412256,NISQAv2
p241_328.wav,4.465988,4.3866243,4.4554996,4.3262854,4.483914,NISQAv2
p323_086.wav,4.43258,4.419291,4.5458946,4.4553723,4.344991,NISQAv2
p251_120.wav,4.0999155,4.0411563,3.763382,3.3915088,3.7631986,NISQAv2
p275_106.wav,4.4353585,4.389045,4.4612885,4.2694297,4.4426813,NISQAv2
p326_362.wav,4.3504195,4.3714523,4.2243066,4.183786,4.253432,NISQAv2
p299_061.wav,4.265321,4.0942836,4.0192738,4.1314287,4.2832074,NISQAv2
p333_175.wav,4.9716196,4.7174096,4.794755,4.640883,4.7213984,NISQAv2
p255_119.wav,5.0359545,4.7212725,4.847168,4.5675073,4.6847167,NISQAv2
p241_090.wav,4.5351777,4.4475303,4.522098,4.199249,4.4704905,NISQAv2
p333_182.wav,4.393783,4.52749,4.1878023,4.250705,4.392046,NISQAv2
p326_105.wav,4.4863124,4.3008065,4.3601236,4.393779,4.5049586,NISQAv2
p335_357.wav,4.6229367,4.0064325,4.1139145,4.596399,4.4683323,NISQAv2
p312_358.wav,4.6765966,3.731026,3.6488836,4.584611,4.1737533,NISQAv2
p234_017.wav,4.3082485,3.370747,3.47065,3.327327,4.246329,NISQAv2
p335_410.wav,4.6968803,4.340853,4.4711056,4.4312057,4.514238,NISQAv2
p237_287.wav,3.8280041,4.462545,3.9528134,4.286459,4.0798783,NISQAv2
p237_154.wav,4.908329,4.618802,4.773179,4.538443,4.72479,NISQAv2
p335_350.wav,4.509768,3.5574098,3.8931005,4.4218225,4.428962,NISQAv2
p341_125.wav,4.9403405,4.67178,4.8393483,4.6308875,4.6972423,NISQAv2
p336_236.wav,4.09879,3.825999,3.4501393,4.360288,4.132071,NISQAv2
p335_165.wav,4.0458803,4.452666,3.9319189,4.17632,4.13818,NISQAv2
p361_177.wav,4.5720654,4.5236335,4.5833707,4.386582,4.5300784,NISQAv2
p335_197.wav,4.483938,3.7459657,4.406266,4.4222784,4.4136863,NISQAv2
p305_038.wav,4.234941,3.9563928,4.189295,4.296162,4.2356563,NISQAv2
p316_155.wav,4.4068975,4.3017907,4.41197,4.434935,4.392736,NISQAv2
p249_267.wav,4.7246504,4.5487976,4.6971016,4.452171,4.5529304,NISQAv2
p316_134.wav,4.0057597,3.3609445,3.4026334,4.3392835,3.7413552,NISQAv2
p249_081.wav,4.772703,4.5854425,4.7368965,4.5109086,4.610076,NISQAv2
p301_122.wav,4.8540545,4.519574,4.7555656,4.5900903,4.671861,NISQAv2
p363_036.wav,4.751157,4.639222,4.6380816,4.601018,4.6534915,NISQAv2
p299_063.wav,4.651594,4.0523577,4.095464,3.8503897,4.4514637,NISQAv2
p333_229.wav,4.2201524,4.564924,4.3032503,4.185429,4.158916,NISQAv2
