deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
p272_192.wav,4.3737516,4.022841,4.295265,4.0883794,4.3190045,NISQAv2
p323_290.wav,4.8248224,4.613377,4.8128586,4.6306405,4.6070657,NISQAv2
p364_126.wav,4.4682064,4.1685243,4.420144,4.19463,4.217712,NISQAv2
p326_313.wav,4.460492,4.210607,4.2772026,4.079862,4.295182,NISQAv2
p255_319.wav,4.3944483,4.418405,4.419451,4.075111,4.323001,NISQAv2
p316_293.wav,4.2492647,4.0919275,3.9968913,4.16707,4.3020263,NISQAv2
p284_202.wav,4.8186026,4.619043,4.651088,4.5123796,4.525871,NISQAv2
p335_261.wav,4.14986,3.8664286,4.036558,4.3411546,4.2269826,NISQAv2
p333_012.wav,5.050149,4.7133126,4.9121466,4.6419907,4.762803,NISQAv2
p234_135.wav,4.55032,4.574058,4.3669624,4.2612467,4.3036556,NISQAv2
p326_307.wav,4.67533,4.495963,4.6362104,4.415046,4.5593114,NISQAv2
p234_171.wav,4.3957653,3.6549153,3.9231017,4.2842236,4.313777,NISQAv2
p234_260.wav,4.8540125,4.6612115,4.7680182,4.636458,4.623718,NISQAv2
p299_066.wav,4.4205837,4.295625,4.133708,4.448117,4.44801,NISQAv2
p323_084.wav,4.170443,3.8839345,4.1735096,4.090064,3.894819,NISQAv2
p295_077.wav,4.466595,4.421253,4.3206134,4.365625,4.4294105,NISQAv2
p249_110.wav,4.816368,4.549645,4.6210437,4.4813857,4.647962,NISQAv2
p341_337.wav,5.0956936,4.6809344,4.963092,4.7186446,4.8078313,NISQAv2
p255_029.wav,4.6151633,4.4170003,4.490101,4.2503085,4.4205565,NISQAv2
p302_008.wav,4.8053856,4.603354,4.7237825,4.476438,4.650805,NISQAv2
p301_311.wav,4.4400177,3.9629097,3.8039002,4.2434936,4.292377,NISQAv2
p241_327.wav,4.9555025,4.536042,4.787105,4.66832,4.7415023,NISQAv2
p363_159.wav,4.2005324,4.3103757,4.156447,4.423896,4.430673,NISQAv2
p302_289.wav,4.7274904,4.547795,4.5085387,4.4393477,4.5006046,NISQAv2
p305_396.wav,4.1706753,3.8424277,4.1255913,3.2103322,4.0235596,NISQAv2
p285_135.wav,5.082728,4.7005873,4.868588,4.642141,4.756617,NISQAv2
p275_020.wav,5.030655,4.632034,4.845394,4.5913286,4.7092557,NISQAv2
p361_001.wav,4.7461567,4.4932837,4.6774197,4.5790095,4.6013336,NISQAv2
p249_281.wav,4.8253393,4.570079,4.71696,4.4911695,4.679069,NISQAv2
p363_219.wav,4.6764326,4.568581,4.575717,4.46499,4.5625296,NISQAv2
p312_072.wav,4.112151,3.4306595,3.5598426,4.0783935,4.076905,NISQAv2
p326_085.wav,4.421343,4.092439,4.0816216,3.9636474,4.380861,NISQAv2
p299_081.wav,4.866054,4.69803,4.8055434,4.5055776,4.683058,NISQAv2
p299_051.wav,4.6514816,4.48408,4.5975466,4.434842,4.3382373,NISQAv2
p275_214.wav,4.2090464,3.8533254,3.9005318,4.562763,4.514255,NISQAv2
p295_035.wav,4.309764,4.1261597,3.9910855,4.1270843,4.0507917,NISQAv2
p264_287.wav,4.9096293,4.7747035,4.8390083,4.533526,4.6098657,NISQAv2
p241_312.wav,4.0003185,4.382155,3.990023,4.178908,4.124811,NISQAv2
p275_095.wav,4.2700453,4.4785123,4.182677,4.118186,4.256658,NISQAv2
